sr_no,name,unit_no,company,sector,age_yr,gcv_kcal_per_kg,gcv_range,fuel,capacity_mw,ef_t_per_mwh,plf_pct,shr_kcal_per_kwh,efficiency_pct,aux_pct,net_gen_gwh,co2_mt,coal_source,fuel_price_rs_per_gcal,vc_fuel_rs_per_kwh,variable_cost_rs_per_kwh,grid_region
433.0,K_Kheda Ii,4.0,MAHAGENCO,State,23.6,3429.2,"(3000, 3500)",Coal,210.0,1.3,50.8,3410.8,25.2,11.3,934.0,1.22,domestic,850.0,2.89918,3.09918,WR
285.0,Unchahar,2.0,NTPC,Centre,35.4,3831.3,"(3500, 4000)",Coal,210.0,1.07,50.9,2837.1,30.3,10.3,936.2,1.0,domestic,850.0,2.411535,2.6115350000000004,Unallocated
327.0,Tuticorin,2.0,TNEB,State,43.6,2840.0,"(2000, 3000)",Coal,210.0,1.1,51.0,2864.7,30.0,8.7,938.3,1.03,domestic,850.0,2.434995,2.634995,SR
376.0,Southern Repl.,1.0,CESC,Private,34.0,4677.0,"(4500, 5000)",Coal,67.5,1.17,51.0,3075.5,28.0,8.5,301.6,0.35,domestic,850.0,2.614175,2.814175,ER
425.0,Neyveli Tps(Z),1.0,Taqa,Private,21.8,2815.9,"(2000, 3000)",Lignite,250.0,1.25,51.1,2966.1,29.0,8.0,1119.5,1.4,lignite,500.0,1.48305,1.68305,Unallocated
232.0,Uchpinda TPP,1.0,Rkm Powergen Private Ltd.,Private,8.8,3044.0,"(3000, 3500)",Coal,360.0,1.03,51.3,2721.9,31.6,10.1,1617.5,1.67,domestic,850.0,2.313615,2.513615,Unallocated
292.0,Raichur,3.0,KPCL,State,33.4,3097.3,"(3000, 3500)",Coal,210.0,1.07,51.4,2802.1,30.7,11.3,945.3,1.01,domestic,850.0,2.381785,2.581785,SR
345.0,Gandhi Nagar,4.0,GSECL,State,33.0,3667.0,"(3500, 4000)",Coal,210.0,1.12,51.6,2876.4,29.9,11.5,949.0,1.06,domestic,850.0,2.44494,2.64494,WR
254.0,H_Ganj B,8.0,UPRVUNL,State,12.9,3483.0,"(3000, 3500)",Coal,250.0,1.04,51.7,2750.7,31.3,8.9,1132.0,1.18,domestic,850.0,2.338095,2.538095,NR
322.0,Marwa TPP,1.0,Cspgcl,State,10.4,3472.0,"(3000, 3500)",Coal,500.0,1.1,51.7,2887.7,29.8,6.0,2264.0,2.48,domestic,850.0,2.454545,2.654545,WR
341.0,Chandrapur_Coal,6.0,MAHAGENCO,State,32.4,3050.8,"(3000, 3500)",Coal,500.0,1.11,51.7,2914.9,29.5,9.5,2263.5,2.51,domestic,850.0,2.477665,2.677665,WR
109.0,R_Gundem Stps,1.0,NTPC,Centre,40.7,3489.1,"(3000, 3500)",Coal,200.0,0.97,51.8,2548.0,33.7,10.5,906.8,0.88,domestic,850.0,2.1658,2.3658,Unallocated
224.0,Anpara,3.0,UPRVUNL,State,35.3,3216.0,"(3000, 3500)",Coal,210.0,1.03,52.0,2708.1,31.8,10.3,957.0,0.98,domestic,850.0,2.301885,2.501885,NR
130.0,Vizag TPP,1.0,Hinduja National Power Corp Ltd,Private,8.6,3115.0,"(3000, 3500)",Coal,520.0,0.98,52.1,2579.4,33.3,6.5,2373.2,2.32,domestic,850.0,2.19249,2.39249,Unallocated
444.0,Neyveli St Ii,1.0,NLC,Centre,36.6,2556.0,"(2000, 3000)",Lignite,210.0,1.45,52.1,3435.4,25.0,11.7,958.4,1.39,lignite,500.0,1.7177,1.9177,SR
280.0,Bandakhar TPP,1.0,Maruti Clean Coal Ch. Ltd,Private,9.1,3485.0,"(3000, 3500)",Coal,300.0,1.06,52.5,2790.0,30.8,8.9,1379.0,1.46,domestic,850.0,2.3715,2.5715000000000003,Unallocated
141.0,Raigarh TPP(OP Jindal Tps),4.0,JSW Energy,Private,16.1,2891.4,"(2000, 3000)",Coal,250.0,0.98,52.6,2589.6,33.2,10.3,1152.1,1.13,domestic,850.0,2.20116,2.40116,Unallocated
328.0,Tuticorin,5.0,TNEB,State,33.4,2835.0,"(2000, 3000)",Coal,210.0,1.1,52.6,2871.9,29.9,9.9,966.9,1.06,domestic,850.0,2.441115,2.641115,SR
150.0,Mettur Tps Ext,1.0,TNEB,State,11.8,3072.5,"(3000, 3500)",Coal,600.0,0.98,52.7,2617.6,32.8,7.7,2770.3,2.73,domestic,850.0,2.22496,2.42496,SR
152.0,Indra Gandhi STPP,2.0,NTPC/Apcpl JV,Centre,12.8,3772.7,"(3500, 4000)",Coal,500.0,0.98,53.0,2592.0,33.2,6.1,2321.0,2.29,domestic,850.0,2.2032,2.4032,Unallocated
234.0,Mejia,2.0,DVC,Centre,27.4,3430.8,"(3000, 3500)",Coal,210.0,1.04,53.1,2717.3,31.6,11.4,977.5,1.01,domestic,850.0,2.309705,2.5097050000000003,ER
240.0,Nawapara,1.0,Trn Energy,Private,8.0,3097.0,"(3000, 3500)",Coal,300.0,1.04,53.3,2731.6,31.5,9.5,1401.1,1.45,domestic,850.0,2.32186,2.52186,Unallocated
275.0,Wardha Warora (Sai Wardha Power),3.0,Sai Wardha Power Ltd.,Private,13.8,3710.2,"(3500, 4000)",Coal,135.0,1.06,53.3,2787.8,30.8,10.1,630.1,0.67,domestic,850.0,2.36963,2.56963,WR
310.0,Parli,7.0,MAHAGENCO,State,14.5,3268.0,"(3000, 3500)",Coal,250.0,1.08,53.5,2810.3,30.6,11.4,1171.0,1.27,domestic,850.0,2.388755,2.5887550000000004,WR
383.0,Ghtp (Leh.Moh.),1.0,PSEB,State,26.6,4262.7,"(4000, 4500)",Coal,210.0,1.18,53.6,3104.1,27.7,9.0,986.0,1.16,domestic,850.0,2.638485,2.8384850000000004,NR
222.0,Suratgarh,4.0,RRVUNL,State,22.4,3304.0,"(3000, 3500)",Coal,250.0,1.03,53.7,2690.7,32.0,9.2,1175.0,1.21,domestic,850.0,2.287095,2.487095,NR
3.0,Torangallu Ext,1.0,JSW Energy Ltd,Private,15.3,5344.1,"(5000, 6000)",Coal,300.0,0.87,54.0,2425.1,35.5,7.6,1418.9,1.23,imported,1700.0,4.12267,4.3226700000000005,Unallocated
99.0,Rayal Seema,6.0,APGENCO,State,6.4,3346.0,"(3000, 3500)",Coal,600.0,0.97,54.2,2543.0,33.8,6.4,2851.2,2.76,domestic,850.0,2.16155,2.3615500000000003,SR
381.0,North Chennai,2.0,TNEB,State,29.4,3111.0,"(3000, 3500)",Coal,210.0,1.17,54.3,3068.9,28.0,9.2,998.2,1.17,domestic,850.0,2.608565,2.808565,SR
324.0,Tuticorin,3.0,TNEB,State,42.3,2840.0,"(2000, 3000)",Coal,210.0,1.1,54.7,2868.3,30.0,9.1,1006.2,1.1,domestic,850.0,2.438055,2.638055,SR
214.0,Ukai_Coal,4.0,GSECL,State,45.4,3465.0,"(3000, 3500)",Coal,200.0,1.02,54.9,2585.2,33.3,9.8,961.0,0.98,domestic,850.0,2.19742,2.3974200000000003,WR
260.0,Uchpinda TPP,3.0,Rkm Powergen Private Ltd.,Private,6.9,3044.0,"(3000, 3500)",Coal,360.0,1.05,54.9,2766.8,31.1,10.1,1730.6,1.82,domestic,850.0,2.35178,2.5517800000000004,Unallocated
311.0,Pathadi Tps Ph -I,1.0,Lanco Amarkantak,Private,15.2,3387.4,"(3000, 3500)",Coal,300.0,1.08,54.9,2856.7,30.1,8.7,1443.1,1.56,domestic,850.0,2.428195,2.6281950000000003,Unallocated
102.0,Rajiv Gandhi Tps Hisar,2.0,HPGCL,State,13.8,3291.1,"(3000, 3500)",Coal,600.0,0.97,55.1,2570.8,33.4,5.8,2897.5,2.81,domestic,850.0,2.18518,2.38518,NR
231.0,Paricha,6.0,UPRVUNL,State,11.4,3401.0,"(3000, 3500)",Coal,250.0,1.03,55.3,2720.8,31.6,10.4,1210.0,1.25,domestic,850.0,2.31268,2.51268,NR
432.0,Niwari TPP,2.0,BLA Power Ltd,Private,5.2,3120.0,"(3000, 3500)",Coal,45.0,1.3,55.4,3433.0,25.0,12.3,218.2,0.28,domestic,850.0,2.91805,3.11805,Unallocated
114.0,Unchahar,6.0,NTPC,Centre,7.4,3829.9,"(3500, 4000)",Coal,500.0,0.97,55.6,2590.3,33.2,6.8,2436.4,2.37,domestic,850.0,2.201755,2.401755,Unallocated
445.0,Neyveli St Ii,6.0,NLC,Centre,31.8,2556.0,"(2000, 3000)",Lignite,210.0,1.45,55.6,3443.1,25.0,12.3,1023.4,1.49,lignite,500.0,1.72155,1.92155,SR
332.0,Vijaywada (Dr. N.TATA Rao Tps),3.0,APGENCO,State,34.8,2858.0,"(2000, 3000)",Coal,210.0,1.1,55.7,2894.2,29.7,10.2,1025.0,1.13,domestic,850.0,2.46007,2.66007,SR
347.0,Obra-A,10.0,UPRVUNL,State,45.6,3430.0,"(3000, 3500)",Coal,200.0,1.13,55.7,2959.1,29.1,10.0,976.0,1.1,domestic,850.0,2.515235,2.7152350000000003,NR
421.0,Ratija TPP,2.0,Scpl Ltd,Private,7.7,2156.0,"(2000, 3000)",Coal,50.0,1.23,56.0,3251.1,26.4,11.9,245.4,0.3,domestic,850.0,2.763435,2.963435,Unallocated
441.0,Neyveli St Ii,5.0,NLC,Centre,32.6,2556.0,"(2000, 3000)",Lignite,210.0,1.42,56.2,3373.1,25.5,10.7,1033.0,1.47,lignite,500.0,1.68655,1.88655,SR
183.0,Ukai_Coal,6.0,GSECL,State,11.4,3552.0,"(3500, 4000)",Coal,500.0,1.0,56.3,2569.3,33.5,7.3,2465.0,2.46,domestic,850.0,2.183905,2.3839050000000004,WR
249.0,Mejia,1.0,DVC,Centre,28.6,3430.8,"(3000, 3500)",Coal,210.0,1.04,56.3,2719.3,31.6,11.4,1035.6,1.08,domestic,850.0,2.311405,2.5114050000000003,ER
257.0,Bina TPP,2.0,Bina Power Supply,Private,11.4,3592.0,"(3500, 4000)",Coal,250.0,1.05,56.3,2756.6,31.2,8.4,1234.0,1.29,domestic,850.0,2.34311,2.54311,Unallocated
60.0,Dadri (NcTPP),6.0,NTPC,Centre,14.0,3805.9,"(3500, 4000)",Coal,490.0,0.95,56.4,2527.4,34.0,5.9,2420.8,2.3,domestic,850.0,2.14829,2.34829,Unallocated
201.0,Shri Singaji Malwa TPP,1.0,Mppgcl,State,10.7,3331.0,"(3000, 3500)",Coal,600.0,1.01,56.5,2656.9,32.4,6.2,2970.0,3.0,domestic,850.0,2.258365,2.458365,WR
248.0,North Chennai Extension,2.0,TNEB,State,10.9,3065.2,"(3000, 3500)",Coal,600.0,1.04,56.5,2752.0,31.2,7.4,2970.0,3.09,domestic,850.0,2.3392,2.5392,SR
227.0,Dadri (NcTPP),4.0,NTPC,Centre,30.4,3783.4,"(3500, 4000)",Coal,210.0,1.03,56.7,2733.8,31.5,9.0,1042.8,1.07,domestic,850.0,2.32373,2.52373,Unallocated
320.0,Tuticorin,4.0,TNEB,State,32.5,2835.0,"(2000, 3000)",Coal,210.0,1.09,56.7,2861.7,30.0,9.7,1043.5,1.14,domestic,850.0,2.432445,2.632445,SR
370.0,Kolaghat,5.0,WBPDC,State,33.4,3277.0,"(3000, 3500)",Coal,210.0,1.15,56.8,3035.5,28.3,11.1,1045.0,1.21,domestic,850.0,2.580175,2.7801750000000003,ER
97.0,Raghunathpur TPP Ph-I,2.0,DVC,Centre,8.6,3651.6,"(3500, 4000)",Coal,600.0,0.97,56.9,2556.1,33.6,6.1,2988.7,2.89,domestic,850.0,2.172685,2.372685,ER
380.0,Sanjay Gandhi,2.0,MPGPCL,State,30.4,3723.0,"(3500, 4000)",Coal,210.0,1.17,57.1,3083.5,27.9,9.5,1049.6,1.23,domestic,850.0,2.620975,2.820975,WR
6.0,Trombay_Coal,1.0,TATA Power,Private,40.5,4445.0,"(4000, 4500)",Coal,500.0,0.89,57.2,2495.6,34.5,6.1,2507.0,2.24,domestic,850.0,2.12126,2.32126,Unallocated
151.0,Indra Gandhi STPP,1.0,NTPC/Apcpl JV,Centre,13.8,3772.7,"(3500, 4000)",Coal,500.0,0.98,57.2,2592.0,33.2,6.1,2507.5,2.47,domestic,850.0,2.2032,2.4032,Unallocated
252.0,Pathadi Tps Ph -I,2.0,Lanco Amarkantak,Private,14.4,3395.6,"(3000, 3500)",Coal,300.0,1.04,57.6,2755.0,31.2,8.6,1513.4,1.58,domestic,850.0,2.34175,2.5417500000000004,Unallocated
286.0,Kalisindh,1.0,RRVUNL,State,10.3,3902.6,"(3500, 4000)",Coal,600.0,1.07,57.6,2812.5,30.6,7.3,3029.4,3.24,domestic,850.0,2.390625,2.590625,NR
337.0,Vijaywada (Dr. N.TATA Rao Tps),1.0,APGENCO,State,44.8,2819.0,"(2000, 3000)",Coal,210.0,1.11,57.7,2898.6,29.7,10.7,1062.0,1.17,domestic,850.0,2.46381,2.66381,SR
442.0,Neyveli St Ii,3.0,NLC,Centre,38.4,2556.0,"(2000, 3000)",Lignite,210.0,1.44,57.7,3418.6,25.2,11.8,1060.7,1.53,lignite,500.0,1.7093,1.9093,SR
212.0,Sterlite TPP(Vedanta),2.0,Sterlite Energy,Private,13.8,3165.0,"(3000, 3500)",Coal,600.0,1.02,58.0,2685.1,32.0,8.3,3046.3,3.1,domestic,850.0,2.282335,2.482335,Unallocated
131.0,Raigarh TPP(OP Jindal Tps),2.0,JSW Energy,Private,16.4,2891.6,"(2000, 3000)",Coal,250.0,0.98,58.1,2585.2,33.3,10.3,1272.4,1.25,domestic,850.0,2.19742,2.3974200000000003,Unallocated
244.0,Paras,3.0,MAHAGENCO,State,14.4,3154.0,"(3000, 3500)",Coal,250.0,1.04,58.3,2722.5,31.6,11.1,1277.8,1.33,domestic,850.0,2.314125,2.5141250000000004,WR
390.0,Surat Lignite,2.0,Gipcl,Private,24.8,2588.2,"(2000, 3000)",Lignite,125.0,1.19,58.4,3118.0,27.6,13.9,640.0,0.76,lignite,500.0,1.559,1.759,WR
247.0,Mettur,3.0,TNEB,State,35.4,3035.0,"(3000, 3500)",Coal,210.0,1.04,58.5,2731.4,31.5,8.7,1076.4,1.12,domestic,850.0,2.32169,2.52169,SR
372.0,Obra-A,9.0,UPRVUNL,State,44.5,3430.0,"(3000, 3500)",Coal,200.0,1.16,58.8,3037.4,28.3,10.9,1031.0,1.19,domestic,850.0,2.58179,2.78179,NR
123.0,Farakka Stps,6.0,NTPC,Centre,13.4,3917.1,"(3500, 4000)",Coal,500.0,0.98,58.9,2579.5,33.3,6.3,2578.3,2.52,domestic,850.0,2.192575,2.3925750000000003,Unallocated
12.0,Tamnar TPP,1.0,OP Jindal,Private,10.4,2993.3,"(2000, 3000)",Coal,600.0,0.92,59.1,2433.0,35.3,5.3,3108.9,2.86,domestic,850.0,2.06805,2.26805,Unallocated
384.0,Sanjay Gandhi,1.0,MPGPCL,State,31.4,3723.0,"(3500, 4000)",Coal,210.0,1.18,59.4,3098.9,27.7,9.9,1093.0,1.29,domestic,850.0,2.634065,2.8340650000000003,WR
213.0,Suratgarh,6.0,RRVUNL,State,14.9,3330.0,"(3000, 3500)",Coal,250.0,1.02,59.5,2672.7,32.2,8.9,1303.8,1.33,domestic,850.0,2.271795,2.471795,NR
287.0,Parli,6.0,MAHAGENCO,State,17.5,3234.0,"(3000, 3500)",Coal,250.0,1.07,59.5,2797.2,30.7,11.5,1303.0,1.39,domestic,850.0,2.37762,2.57762,WR
158.0,Akaltara TPP /Nariyara TPP,2.0,Ksk Mahanadi Power,Private,10.0,3708.0,"(3500, 4000)",Coal,600.0,0.99,59.6,2603.1,33.0,7.2,3134.0,3.1,domestic,850.0,2.212635,2.4126350000000003,Unallocated
440.0,Neyveli St Ii,4.0,NLC,Centre,33.4,2556.0,"(2000, 3000)",Lignite,210.0,1.37,59.6,3248.8,26.5,7.1,1096.1,1.5,lignite,500.0,1.6244,1.8244,SR
360.0,Surat Lignite,4.0,Gipcl,Private,14.3,2611.7,"(2000, 3000)",Lignite,125.0,1.14,59.7,3055.0,28.1,13.3,654.0,0.75,lignite,500.0,1.5275,1.7275,WR
242.0,Tuticorin JV,1.0,Ntpl(JV Of NLC & Tangedco),Centre,9.4,3596.7,"(3500, 4000)",Coal,500.0,1.04,59.8,2775.0,31.0,6.8,2618.7,2.72,domestic,850.0,2.35875,2.5587500000000003,SR
269.0,Farakka Stps,2.0,NTPC,Centre,37.6,3935.3,"(3500, 4000)",Coal,200.0,1.06,60.1,2805.8,30.6,9.8,1052.4,1.11,domestic,850.0,2.38493,2.5849300000000004,Unallocated
359.0,Sanjay Gandhi,4.0,MPGPCL,State,24.7,3723.0,"(3500, 4000)",Coal,210.0,1.14,60.2,3001.2,28.7,9.6,1107.7,1.26,domestic,850.0,2.55102,2.75102,WR
75.0,Derang,2.0,JIPL,Private,9.5,3379.7,"(3000, 3500)",Coal,600.0,0.96,60.3,2523.1,34.1,5.6,3170.1,3.04,domestic,850.0,2.144635,2.344635,Unallocated
361.0,Kolaghat,4.0,WBPDC,State,30.6,3295.0,"(3000, 3500)",Coal,210.0,1.14,60.3,3009.8,28.6,11.1,1109.0,1.27,domestic,850.0,2.55833,2.7583300000000004,ER
246.0,Mejia,3.0,DVC,Centre,26.4,3430.8,"(3000, 3500)",Coal,210.0,1.04,60.4,2715.6,31.7,11.3,1110.7,1.15,domestic,850.0,2.30826,2.5082600000000004,ER
357.0,Wanakbori,5.0,GSECL,State,37.9,3551.5,"(3500, 4000)",Coal,210.0,1.14,60.4,2979.3,28.9,9.8,1111.0,1.26,domestic,850.0,2.532405,2.732405,WR
449.0,Balco TPP,1.0,Balco India Private Ltd.,Private,9.2,3533.0,"(3500, 4000)",Coal,300.0,1.57,60.5,4162.9,20.7,8.4,1590.4,2.5,domestic,850.0,3.5384649999999995,3.738465,Unallocated
132.0,Akaltara TPP /Nariyara TPP,1.0,Ksk Mahanadi Power,Private,11.0,3710.0,"(3500, 4000)",Coal,600.0,0.98,60.6,2579.6,33.3,7.3,3185.0,3.12,domestic,850.0,2.19266,2.39266,Unallocated
339.0,Gandhi Nagar,5.0,GSECL,State,26.4,3626.9,"(3500, 4000)",Coal,210.0,1.11,60.6,2846.8,30.2,11.5,1114.0,1.23,domestic,850.0,2.41978,2.61978,WR
313.0,Chhabra Tps,2.0,RRVUNL,State,14.3,3670.2,"(3500, 4000)",Coal,250.0,1.09,60.7,2862.2,30.0,10.5,1329.2,1.45,domestic,850.0,2.43287,2.63287,NR
202.0,Kahalgaon,3.0,NTPC,Centre,29.4,3526.0,"(3500, 4000)",Coal,210.0,1.01,60.8,2679.5,32.1,9.7,1118.2,1.13,domestic,850.0,2.277575,2.4775750000000003,Unallocated
358.0,Sanjay Gandhi,3.0,MPGPCL,State,25.4,3723.0,"(3500, 4000)",Coal,210.0,1.14,60.8,2995.2,28.7,9.3,1118.0,1.27,domestic,850.0,2.54592,2.7459200000000004,WR
373.0,Kolaghat,3.0,WBPDC,State,40.0,3303.0,"(3000, 3500)",Coal,210.0,1.16,61.0,3055.7,28.1,11.0,1122.0,1.3,domestic,850.0,2.597345,2.797345,ER
302.0,Unchahar,3.0,NTPC,Centre,25.5,3732.0,"(3500, 4000)",Coal,210.0,1.08,61.1,2827.0,30.4,10.0,1123.2,1.21,domestic,850.0,2.40295,2.6029500000000003,Unallocated
362.0,Bhusawal,5.0,MAHAGENCO,State,10.6,3531.2,"(3500, 4000)",Coal,500.0,1.14,61.1,3027.3,28.4,6.4,2677.0,3.06,domestic,850.0,2.573205,2.7732050000000004,WR
206.0,Dadri (NcTPP),1.0,NTPC,Centre,32.6,3782.4,"(3500, 4000)",Coal,210.0,1.02,61.2,2699.6,31.9,8.1,1125.4,1.14,domestic,850.0,2.29466,2.49466,Unallocated
443.0,Neyveli St Ii,7.0,NLC,Centre,31.1,2556.0,"(2000, 3000)",Lignite,210.0,1.45,61.6,3436.5,25.0,10.7,1133.5,1.64,lignite,500.0,1.71825,1.91825,SR
336.0,Wanakbori,7.0,GSECL,State,25.6,3650.0,"(3500, 4000)",Coal,210.0,1.1,61.8,2880.5,29.9,10.5,1136.0,1.25,domestic,850.0,2.448425,2.648425,WR
86.0,Amaravati TPP,3.0,India Bulls,Private,9.5,3655.4,"(3500, 4000)",Coal,270.0,0.96,61.9,2535.9,33.9,7.7,1465.0,1.41,domestic,850.0,2.155515,2.355515,Unallocated
91.0,Rosa TPP,4.0,Rosa Power Company,Private,12.4,3835.0,"(3500, 4000)",Coal,300.0,0.96,62.1,2542.0,33.8,7.0,1632.7,1.57,domestic,850.0,2.1607,2.3607,NR
352.0,Kolaghat,6.0,WBPDC,State,31.6,3313.0,"(3000, 3500)",Coal,210.0,1.13,62.1,2979.7,28.9,11.1,1143.0,1.29,domestic,850.0,2.532745,2.732745,ER
378.0,Surat Lignite,3.0,Gipcl,Private,14.3,2585.1,"(2000, 3000)",Lignite,125.0,1.17,62.1,3064.1,28.1,13.3,680.0,0.8,lignite,500.0,1.53205,1.73205,WR
85.0,Simhadri,2.0,NTPC,Centre,22.0,3192.1,"(3000, 3500)",Coal,500.0,0.96,62.2,2554.6,33.7,5.8,2723.8,2.62,domestic,850.0,2.17141,2.37141,Unallocated
207.0,Kahalgaon,2.0,NTPC,Centre,30.4,3469.6,"(3000, 3500)",Coal,210.0,1.02,62.2,2690.6,32.0,10.2,1143.5,1.16,domestic,850.0,2.28701,2.48701,Unallocated
208.0,Paricha,5.0,UPRVUNL,State,12.2,3401.0,"(3000, 3500)",Coal,250.0,1.02,62.2,2677.4,32.1,9.0,1363.0,1.39,domestic,850.0,2.27579,2.4757900000000004,NR
395.0,Jallippa Kapurdi TPP,3.0,Raj West Power Ltd (JSW),Private,12.8,3128.8,"(3000, 3500)",Lignite,135.0,1.2,62.2,2851.5,30.2,10.2,736.0,0.88,lignite,500.0,1.42575,1.62575,WR
46.0,Tamnar TPP,2.0,OP Jindal,Private,10.4,2975.2,"(2000, 3000)",Coal,600.0,0.94,62.4,2497.7,34.4,5.3,3277.3,3.1,domestic,850.0,2.123045,2.323045,Unallocated
267.0,Vijaywada (Dr. N.TATA Rao Tps),5.0,APGENCO,State,30.4,2946.0,"(2000, 3000)",Coal,210.0,1.05,62.4,2771.5,31.0,9.6,1148.0,1.21,domestic,850.0,2.355775,2.555775,SR
71.0,R_Gundem Stps,5.0,NTPC,Centre,35.4,3507.3,"(3500, 4000)",Coal,500.0,0.95,62.5,2530.1,34.0,7.0,2735.4,2.61,domestic,850.0,2.150585,2.350585,Unallocated
281.0,Tenughat,1.0,Tvnl,State,30.3,3469.0,"(3000, 3500)",Coal,210.0,1.06,62.5,2793.1,30.8,10.4,1149.7,1.22,domestic,850.0,2.374135,2.574135,ER
7.0,Trombay_Coal,2.0,TATA Power,Private,14.9,4420.0,"(4000, 4500)",Coal,250.0,0.9,62.6,2524.5,34.1,7.1,1372.0,1.24,domestic,850.0,2.145825,2.345825,Unallocated
18.0,Tamnar TPP,4.0,OP Jindal,Private,9.4,2935.5,"(2000, 3000)",Coal,600.0,0.93,62.9,2443.9,35.2,5.3,3305.2,3.06,domestic,850.0,2.077315,2.277315,Unallocated
65.0,Simhadri,4.0,NTPC,Centre,12.4,3056.2,"(3000, 3500)",Coal,500.0,0.95,62.9,2518.8,34.1,6.0,2755.6,2.62,domestic,850.0,2.14098,2.34098,Unallocated
171.0,Mahadev Prasad STPP,2.0,Adahunik Power,Private,11.4,3482.0,"(3000, 3500)",Coal,270.0,1.0,62.9,2626.2,32.7,8.5,1488.3,1.48,domestic,850.0,2.23227,2.4322700000000004,Unallocated
259.0,Mettur,4.0,TNEB,State,34.5,3031.0,"(3000, 3500)",Coal,210.0,1.05,62.9,2754.7,31.2,9.1,1157.8,1.22,domestic,850.0,2.341495,2.5414950000000003,SR
55.0,Mouda Stps,1.0,NTPC,Centre,12.3,3372.0,"(3000, 3500)",Coal,500.0,0.95,63.0,2515.8,34.2,6.2,2760.1,2.62,domestic,850.0,2.13843,2.33843,Unallocated
335.0,I.B.Valley,2.0,OPGC,State,28.8,2901.0,"(2000, 3000)",Coal,210.0,1.1,63.0,2904.4,29.6,12.1,1159.8,1.28,domestic,850.0,2.46874,2.66874,ER
419.0,Barsingar Ligniteite,1.0,NLC,Centre,14.1,2912.0,"(2000, 3000)",Lignite,125.0,1.22,63.2,2895.2,29.7,12.6,692.0,0.84,lignite,500.0,1.4476,1.6476,SR
430.0,K_Kheda Ii,3.0,MAHAGENCO,State,24.2,3434.2,"(3000, 3500)",Coal,210.0,1.29,63.2,3407.6,25.2,10.6,1162.0,1.5,domestic,850.0,2.89646,3.09646,WR
333.0,Rayal Seema,1.0,APGENCO,State,30.3,3240.0,"(3000, 3500)",Coal,210.0,1.1,63.3,2901.8,29.6,11.6,1165.2,1.29,domestic,850.0,2.46653,2.6665300000000003,SR
40.0,Amaravati TPP,5.0,India Bulls,Private,9.4,3654.7,"(3500, 4000)",Coal,270.0,0.94,63.4,2483.9,34.6,7.7,1499.1,1.41,domestic,850.0,2.111315,2.311315,Unallocated
318.0,Tenughat,2.0,Tvnl,State,27.8,3469.0,"(3000, 3500)",Coal,210.0,1.09,63.4,2876.8,29.9,10.4,1165.7,1.27,domestic,850.0,2.44528,2.64528,ER
408.0,Koradi,6.0,MAHAGENCO,State,42.4,3227.0,"(3000, 3500)",Coal,210.0,1.22,63.4,3160.6,27.2,11.5,1167.0,1.42,domestic,850.0,2.68651,2.8865100000000004,WR
126.0,Rajiv Gandhi Tps Hisar,1.0,HPGCL,State,14.4,3302.3,"(3000, 3500)",Coal,600.0,0.98,63.7,2593.1,33.2,6.0,3347.7,3.27,domestic,850.0,2.204135,2.404135,NR
255.0,Paricha,3.0,UPRVUNL,State,18.4,3401.0,"(3000, 3500)",Coal,210.0,1.05,63.8,2757.3,31.2,11.2,1173.0,1.23,domestic,850.0,2.343705,2.543705,NR
293.0,"India Power TPP (Haldia, Hiranmaye)",1.0,Hiranmaye Energy Ltd,Private,7.2,3212.0,"(3000, 3500)",Coal,150.0,1.07,63.9,2822.2,30.5,9.4,839.5,0.9,domestic,850.0,2.39887,2.59887,Unallocated
276.0,Wardha Warora (Sai Wardha Power),4.0,Sai Wardha Power Ltd.,Private,13.3,3710.2,"(3500, 4000)",Coal,135.0,1.06,64.0,2787.8,30.8,10.1,757.2,0.8,domestic,850.0,2.36963,2.56963,WR
2.0,Torangallu Imp,2.0,JSW Energy,Private,25.2,5516.7,"(5000, 6000)",Coal,130.0,0.82,64.2,2281.1,37.7,8.4,730.8,0.6,imported,1700.0,3.87787,4.07787,Unallocated
225.0,Shri Singaji Malwa TPP,2.0,Mppgcl,State,9.6,3331.0,"(3000, 3500)",Coal,600.0,1.03,64.2,2708.2,31.7,6.0,3375.0,3.47,domestic,850.0,2.30197,2.50197,WR
349.0,Ghtp (Leh.Moh.),4.0,PSEB,State,16.0,4264.4,"(4000, 4500)",Coal,250.0,1.13,64.2,2978.4,28.9,7.7,1406.0,1.59,domestic,850.0,2.53164,2.73164,NR
87.0,Kahalgaon,5.0,NTPC,Centre,17.4,3494.8,"(3000, 3500)",Coal,500.0,0.96,64.3,2543.2,33.8,6.6,2815.1,2.71,domestic,850.0,2.16172,2.36172,Unallocated
438.0,Chakabura TPP,2.0,Acb India Ltd,Private,10.4,2095.0,"(2000, 3000)",Coal,30.0,1.36,64.3,3580.5,24.0,13.5,168.8,0.23,domestic,850.0,3.043425,3.243425,Unallocated
20.0,R_Gundem Stps,7.0,NTPC,Centre,19.9,3494.4,"(3000, 3500)",Coal,500.0,0.93,64.4,2451.0,35.1,6.7,2822.3,2.62,domestic,850.0,2.08335,2.28335,Unallocated
52.0,Baradarha TPP,2.0,Db Power Ltd,Private,9.4,3334.6,"(3000, 3500)",Coal,600.0,0.95,64.5,2496.8,34.4,5.4,3391.0,3.21,domestic,850.0,2.12228,2.32228,Unallocated
